2026-03-24 00:11:38 | INFO     | src.utils.logger | Logging initialised — file: /home/joaquin-fedora/code/personal/PixelAnalizer/logs/pixelanalizer.log
2026-03-24 00:11:38 | INFO     | src.core.color_ranges | Loading color ranges from: /home/joaquin-fedora/code/personal/PixelAnalizer/config/color_ranges.yaml
2026-03-24 00:11:38 | INFO     | src.core.color_ranges | Loaded 4 color range(s): ['red', 'yellow', 'green', 'blue']
2026-03-24 00:11:38 | INFO     | src.core.analyzer | ImageAnalyzer initialized with 4 color ranges.
2026-03-24 00:11:50 | INFO     | src.core.image_loader | Loading image: /home/joaquin-fedora/code/personal/PixelAnalizer/images/66 y 34 aprox.png
2026-03-24 00:11:50 | INFO     | src.core.image_loader | Image loaded successfully — size: 400x400 px, mode: RGB
2026-03-24 00:11:50 | INFO     | src.ui.app | Image loaded by user: /home/joaquin-fedora/code/personal/PixelAnalizer/images/66 y 34 aprox.png
2026-03-24 00:12:01 | INFO     | src.core.analyzer | Analysis complete for '66 y 34 aprox.png' — 118994/160000 non-black pixels.
2026-03-24 00:15:39 | INFO     | src.core.image_loader | Loading image: /home/joaquin-fedora/Imágenes/Capturas de pantalla/argentina.png
2026-03-24 00:15:39 | INFO     | src.core.image_loader | Image loaded successfully — size: 989x951 px, mode: RGB
2026-03-24 00:15:39 | INFO     | src.ui.app | Image loaded by user: /home/joaquin-fedora/Imágenes/Capturas de pantalla/argentina.png
2026-03-24 00:15:41 | INFO     | src.core.analyzer | Analysis complete for 'argentina.png' — 939785/940539 non-black pixels.
2026-03-24 00:16:39 | INFO     | src.utils.exporter | JSON export written: /home/joaquin-fedora/Descargas/argentina_analisis.json
2026-03-24 00:18:57 | INFO     | src.core.analyzer | Analysis complete for 'argentina.png' — 939785/940539 non-black pixels.
2026-03-24 00:22:24 | INFO     | src.utils.logger | Logging initialised — file: /home/joaquin-fedora/code/personal/PixelAnalizer/logs/pixelanalizer.log
2026-03-24 00:22:24 | INFO     | src.core.color_ranges | Loading color ranges from: /home/joaquin-fedora/code/personal/PixelAnalizer/config/color_ranges.yaml
2026-03-24 00:22:24 | INFO     | src.core.color_ranges | Loaded 7 color range(s): ['high_vegetation', 'moderate_vegetation', 'sparse_vegetation', 'arid_soil', 'water', 'clouds_snow', 'urban_infrastructure']
2026-03-24 00:22:24 | INFO     | src.core.analyzer | ImageAnalyzer initialized with 7 color ranges.
2026-03-24 00:22:44 | INFO     | src.core.image_loader | Loading image: /home/joaquin-fedora/Imágenes/Capturas de pantalla/argentina.png
2026-03-24 00:22:44 | INFO     | src.core.image_loader | Image loaded successfully — size: 989x951 px, mode: RGB
2026-03-24 00:22:56 | INFO     | src.ui.image_panel | ROI defined: (-16, 438, 361, 712)
2026-03-24 00:23:12 | INFO     | src.core.analyzer | Analyzing ROI: (0, 438, 361, 712)
2026-03-24 00:25:44 | INFO     | src.utils.logger | Logging initialised — file: /home/joaquin-fedora/code/personal/PixelAnalizer/logs/pixelanalizer.log
2026-03-24 00:25:44 | INFO     | src.core.color_ranges | Loading color ranges from: /home/joaquin-fedora/code/personal/PixelAnalizer/config/color_ranges.yaml
2026-03-24 00:25:44 | INFO     | src.core.color_ranges | Loaded 7 color range(s): ['high_vegetation', 'moderate_vegetation', 'sparse_vegetation', 'arid_soil', 'water', 'clouds_snow', 'urban_infrastructure']
2026-03-24 00:25:44 | INFO     | src.core.analyzer | ImageAnalyzer initialized with 7 color ranges.
2026-03-24 00:26:13 | INFO     | src.utils.logger | Logging initialised — file: /home/joaquin-fedora/code/personal/PixelAnalizer/logs/pixelanalizer.log
2026-03-24 00:26:14 | INFO     | src.core.color_ranges | Loading color ranges from: /home/joaquin-fedora/code/personal/PixelAnalizer/config/color_ranges.yaml
2026-03-24 00:26:14 | INFO     | src.core.color_ranges | Loaded 7 color range(s): ['high_vegetation', 'moderate_vegetation', 'sparse_vegetation', 'arid_soil', 'water', 'clouds_snow', 'urban_infrastructure']
2026-03-24 00:26:14 | INFO     | src.core.analyzer | ImageAnalyzer initialized with 7 color ranges.
2026-03-24 00:26:26 | INFO     | src.core.image_loader | Loading image: /home/joaquin-fedora/Imágenes/Capturas de pantalla/argentina.png
2026-03-24 00:26:26 | INFO     | src.core.image_loader | Image loaded successfully — size: 989x951 px, mode: RGB
2026-03-24 00:28:26 | INFO     | src.utils.logger | Logging initialised — file: /home/joaquin-fedora/code/personal/PixelAnalizer/logs/pixelanalizer.log
2026-03-24 00:28:26 | INFO     | src.core.color_ranges | Loading color ranges from: /home/joaquin-fedora/code/personal/PixelAnalizer/config/color_ranges.yaml
2026-03-24 00:28:26 | INFO     | src.core.color_ranges | Loaded 6 color range(s): ['high_vegetation', 'moderate_vegetation', 'sparse_vegetation', 'arid_soil', 'water', 'clouds_snow']
2026-03-24 00:28:26 | INFO     | src.core.analyzer | ImageAnalyzer initialized with 6 color ranges.
2026-03-24 00:28:37 | INFO     | src.core.image_loader | Loading image: /home/joaquin-fedora/Imágenes/Capturas de pantalla/argentina.png
2026-03-24 00:28:37 | INFO     | src.core.image_loader | Image loaded successfully — size: 989x951 px, mode: RGB
2026-03-24 00:30:10 | INFO     | src.utils.logger | Logging initialised — file: /home/joaquin-fedora/code/personal/PixelAnalizer/logs/pixelanalizer.log
2026-03-24 00:30:10 | INFO     | src.core.color_ranges | Loading color ranges from: /home/joaquin-fedora/code/personal/PixelAnalizer/config/color_ranges.yaml
2026-03-24 00:30:10 | INFO     | src.core.color_ranges | Loaded 6 color range(s): ['high_vegetation', 'moderate_vegetation', 'sparse_vegetation', 'arid_soil', 'water', 'clouds_snow']
2026-03-24 00:30:10 | INFO     | src.core.analyzer | ImageAnalyzer initialized with 6 color ranges.
2026-03-24 00:30:15 | INFO     | src.core.image_loader | Loading image: /home/joaquin-fedora/code/personal/PixelAnalizer/images/argentina.png
2026-03-24 00:30:15 | INFO     | src.core.image_loader | Image loaded successfully — size: 989x951 px, mode: RGB
2026-03-24 00:31:06 | INFO     | src.core.image_loader | Loading image: /home/joaquin-fedora/code/personal/PixelAnalizer/images/VSVCONUS202308072023081302.jpg
2026-03-24 00:31:06 | INFO     | src.core.image_loader | Image loaded successfully — size: 1024x645 px, mode: RGB
2026-03-24 00:31:41 | INFO     | src.utils.logger | Logging initialised — file: /home/joaquin-fedora/code/personal/PixelAnalizer/logs/pixelanalizer.log
2026-03-24 00:31:41 | INFO     | src.core.color_ranges | Loading color ranges from: /home/joaquin-fedora/code/personal/PixelAnalizer/config/color_ranges.yaml
2026-03-24 00:31:41 | INFO     | src.core.color_ranges | Loaded 6 color range(s): ['high_vegetation', 'moderate_vegetation', 'sparse_vegetation', 'arid_soil', 'water', 'clouds_snow']
2026-03-24 00:31:41 | INFO     | src.core.analyzer | ImageAnalyzer initialized with 6 color ranges.
2026-03-24 00:31:45 | INFO     | src.core.image_loader | Loading image: /home/joaquin-fedora/code/personal/PixelAnalizer/images/argentina.png
